children,subcategory,Category,text
0,Breast cancer,Oncologist,"Is Early breast cancer considered potentially curable?"
0,Breast cancer,Oncologist,"Is Primary conventional surgery the optimal choice for patients with breast cancer?"
0,Breast cancer,Oncologist,"In triple-negative and HER2-positive early breast cancer can neoadjuvant therapy be used?"
0,Breast cancer,Oncologist,"What are the advancement in breast imaging?" Has it made a positive impact on recognition and screening of breast cancer?"
0,Breast cancer,Oncologist,"What are the steps leading to the development of breast cancer?" What are the cell types involved?"
0,Breast cancer,Oncologist,"What are the genes related to breast cancer?"
0,Breast cancer,Oncologist,"What are the safest chemoprevention drug options of breast cancer?"
0,Breast cancer,Oncologist,"Can increasing age, race, menarche history, breast characteristics, reproductive patterns, hormone use, alcohol use, tobacco use, diet, physical activity, and body habitus be risk factors for breast cancer?"
0,Breast cancer,Oncologist,"Are Mutations in the BRCA 1 and BRCA 2 tumor suppressor genes significantly associated with the development of breast cancer by the age of 70?"
0,Breast cancer,Oncologist,"Can breast cancer be attributed to an inherited genetic mutation?"

0,Lung cancer,Oncologist,"Is tobacco smoking the major risk factor of Lung cancer?"
0,Lung cancer,Oncologist,"Can certain environmental and occupational exposures and lifestyle factors, chronic lung disease, and lung infections lead to Lung cancer?"
0,Lung cancer,Oncologist,"What lung cancer screening techniques can be used for the prevention and early detection of lung cancer?"
0,Lung cancer,Oncologist,"Why is it Lung cancer usually diagnosed when at an advanced stage?"
0,Lung cancer,Oncologist,"Can body fluids be used as carriers of biomarkers as predictors of cancer development and progression in the case of Lung cancer?"
0,Lung cancer,Oncologist,"What advancements have been made in the screening,diagnosis, and treatment of non-small-cell lung cancer and small-cell lung cancer?"
0,Lung cancer,Oncologist,"Is lung cancer considered a heterogeneous disease at the cellular and histological level?"
0,Lung cancer,Oncologist,"Can low dose CT detect lung cancer earlier than chest radiography and sputum?"
0,Lung cancer,Oncologist,"What are the updates in the field of lung cancer screening, liquid biopsy, and immunotherapy in the front-line setting?"
0,Lung cancer,Oncologist,"What is the differenece between multiple primary lung cancers and intrapulmonary metastasis of lung cancer?" What is the treatment strategy and prognosis for each?"

0,Colorectal cancer,Oncologist,"Can obesity, lack of physical exercise, and smoking increase the risk of colorectal cancer?"
0,Colorectal cancer,Oncologist,"Among the following: endoscopic and surgical local excision, downstaging preoperative radiotherapy and systemic therapy, extensive surgery for locoregional and metastatic disease, local ablative therapies for metastases, and palliative chemotherapy, targeted therapy, and immunotherapy, which is the most effective treatment in the case of Colorectal cancer?" 
0,Colorectal cancer,Oncologist,"Do genetic factors play a major role in the pathogenesis of colon cancer?"
0,Colorectal cancer,Oncologist,"What adavances have been made in the molecular profiling of metastatic Colorectal Cancer?"
0,Colorectal cancer,Oncologist,"What is the effect of colonoscopy on the risks of colorectal cancer and related death?"
0,Colorectal cancer,Oncologist,"In which stage should high-sensitivity guaiac fecal occult blood test (HSgFOBT), fecal immunochemical test (FIT), multi-target stool DNA (mt-sDNA) test, computed tomographic (CT) colonography (virtual colonoscopy), flexible sigmoidoscopy, flexible sigmoidoscopy with FIT, or traditional colonoscopy be used?"
0,Colorectal cancer,Oncologist,"Can LGR5, KCNN4, TNS4 and CENPH which are correlated with radiation sensitivity of colorectal cancer cells form an indicator that can reflect the prognosis of colorectal cancer patients undergoing radiation therapy?"
0,Colorectal cancer,Oncologist,"How can tumor repopulation occur after radiation therapy in case of colorectal cancer cells?"
0,Colorectal cancer,Oncologist,"Is Colorectal cancer a collection of neoplastic diseases?"
0,Colorectal cancer,Oncologist,"Why is the mutation status of KRAS, BRAF, and NRAS investigated in a metastatic context in the case of Colorectal cancer?"
0,Colorectal cancer,Oncologist,"for patients diagnosed with Colorectal cancer what is the current known data with regard to tumor heterogeneity at both inter- and intratumoral levels?"

0,Prostate cancer,Oncologist,"Is there a cure for metastatic prostate cancer?"
0,Prostate cancer,Oncologist,"In the setting of extreme tumor heterogeneity on the genetic and cell biological levels is there any therapeutic regimens capable of generating durable responses in the case of prostate cancer?"
0,Prostate cancer,Oncologist,"For patients with prostate cancer, What are the current available theragnostic schemes, including diagnostic modalities, therapeutic responses, and the drugs available to target non-AR signaling?"
0,Prostate cancer,Oncologist,"Is prostate-specific antigen effective for the early detection of prostate cancer?" 
0,Prostate cancer,Oncologist,"Is there any advances in the screening methods for prostate cancer?" Is there any novel biomarkers?"
0,Prostate cancer,Oncologist,"What is Metastatic prostate cancer and is there any cure for it?"
0,Prostate cancer,Oncologist,"Can androgen deprivation therapy be effective in case of Metastatic prostate cancer or do patients progress to a castrationresistant phase after a while?"
0,Prostate cancer,Oncologist,"Can the upfront combination therapy with either docetaxel or new hormonal agents results in improved overall survival for patients with metastatic hormone-sensitive prostate cancer?"
0,Prostate cancer,Oncologist,"Does prostate-specific membrane antigen (PSMA) positron emission tomography/computed tomography (PET/CT) have superior accuracy in the staging of prostate cancer than conventional imaging (CT and whole-body bone scan)?"
0,Prostate cancer,Oncologist,"Is tissue biopsy still the standard of care for diagnosis of prostate cancer?"

0,Ovarian cancer,Oncologist,"Are Mutations in the BRCA 1 and BRCA 2 tumor suppressor genes significantly associated with the development of ovarian cancer by the age of 70?"
0,Ovarian cancer,Oncologist,"What are the treatment options for Ovarian Cancer?"
0,Ovarian cancer,Oncologist,"Is immunotherapy effective in the case of Ovarian Cancer?"
0,Ovarian cancer,Oncologist,"Can the evaluation of sensitive/resistant target treatment subpopulations based on stratification by tumor biomarkers including tumor mutation burden, PD-L1, tumor-infiltrating lymphocytes, homologous recombination deficiency, and neoantigen intratumoral heterogeneity improve the predictiveness of response to immunotherapy?"
0,Ovarian cancer,Oncologist,"Why is there no screening test for ovarian cancer and with diagnosis often in the late stages Why is the recurrence high?"
0,Ovarian cancer,Oncologist,"What are the main causes of Ovarian cancer?"
0,Ovarian cancer,Oncologist,"What are Mature ovarian cystic teratomas and what are their ectodermal, mesodermal, and endodermal components?"
0,Ovarian cancer,Oncologist,"A 25-year-old virginal Japanese woman underwent surgery for an ovarian tumor that was diagnosed as a mature teratoma. A solid mass within the tumor was found to have a head, trunk, and extremities. Consequently, this mass was diagnosed as a mature fetiform teratoma (homunculus). Brain, eye, spinal nerve, ear, teeth, thyroid gland, bone, bone marrow, gut, trachea, blood vessels, and phallic cavernous tissue were confirmed microscopically. Distinctive features were the clear anterior-posterior, ventral-dorsal, and left-right axes, with a spatially well-organized arrangement of the organs. An eye was located on the front of the head, a spinal nerve lay dorsal to the spinal bones, the thyroid gland was anterior to the trachea, and the gut was deep inside the trunk.What are the steps to be followed?"
0,Ovarian cancer,Oncologist,"Are serum tumor markers (STMs)-including cancer antigen 125 (CA-125), human epididymis protein 4 (HE4), cancer antigen 19-9 (CA 19-9), and carcinoembryonic antigen (CEA)-effective for identifying ovarian cancer in conjunction with imaging?"
0,Ovarian cancer,Oncologist,"A 41-year-old woman was brought to our hospital with abdominal pain. Abdominal computerized tomography scan suggested large mass of ovarian origin which was considered an ovarian tumor with pelvic metastasis and peritoneal metastasis. Laboratory analyses indicated an elevated levels of serum tumor marker carbohydrate antigen 125 was 321.9 U/mL and the level of D-dimer was 16.71 mg/L. WHat would be your diagnosis?"

0,Pancreatic cancer,Oncologist,"Why is pancreatic cancer predominantly seen in men?"
0,Pancreatic cancer,Oncologist,"Does Pancreatic cancer result from hereditary germline or somatic acquired mutations in cancer-related genes?" Can mutations also cause cancer progression and metastasis?"
0,Pancreatic cancer,Oncologist,"Why is Pancreatic cancer mostly asymptomatic?" Are most cases adenocarcinomas?"
0,Pancreatic cancer,Oncologist,"What are the future directions for research and improvement of care for individuals at high-risk of pancreatic cancer?"
0,Pancreatic cancer,Oncologist,"Why is Pancreatic cancer screening not recommended?"
0,Pancreatic cancer,Oncologist,"In addition to CA 19-9, what other biomarkers can be used for the diagnosis of pancreatic cancer?"
0,Pancreatic cancer,Oncologist,"a 74-year-old woman in whom the metastatic lesion only presented as mucosal erosion in the stomach. The patient had a 1-month history of progressive right upper quadrant pain before admission. Computed tomography and endoscopic examinations revealed a solid and hypo-enhancing mass in the head of the pancreas. The patient underwent conventional upper endoscopy before pancreatic biopsy, and mucosal erosion was observed in the gastric pylorus. We obtained gastric and pancreatic biopsies by gastroscopy and endoscopic ultrasound-guided fine needle aspiration, respectively. Pathologically, the biopsies taken from the area of gastric erosion showed poorly differentiated invasive adenocarcinoma that was morphologically consistent with the pancreatic specimens. Moreover, the gastric section showed tumor thrombi within the vessels. Hence, the suspected diagnosis was unresectable pancreatic cancer with gastric metastasis.What would be your diagnosis for this case?"
0,Pancreatic cancer,Oncologist,"A 70-year-old male presenting with a mass in the right inguinal area was treated with surgery, and was diagnosed pathologically as spermatic cord metastasis of pancreatic cancer. He was given systemic chemotherapy. Unfortunately, he died of ascites and cachexia three months later. What is your opinion on this case?"
0,Pancreatic cancer,Oncologist,"What is Pancreatic adenocarcinoma and is there any improvement in the context of therapeutic options?"
